,Game,Year,Genre,North America,Europe,Japan,Rest of World,Global
226,Transformer: Rise of the Dark Spark,2014.0,Shooter,0.1,0.03,0.0,0.01,0.15
227,The Escapists 2,2017.0,Action,0.05,0.08,0.0,0.01,0.15
228,Transformers: Devastation,2015.0,Action,0.1,0.04,0.0,0.01,0.15
229,Spintires: MudRunner,2017.0,Simulation,0.11,0.02,0.0,0.01,0.15
230,DmC: Devil May Cry,2015.0,Action,0.09,0.04,0.0,0.01,0.15
231,Attack on Titan (KOEI),2016.0,Action,0.06,0.07,0.0,0.01,0.15
232,Tony Hawk's Pro Skater 5,2015.0,Sports,0.11,0.02,0.0,0.01,0.14
233,Naruto Shippuden: Ultimate Ninja Storm Legacy,2017.0,Fighting,0.11,0.02,0.0,0.01,0.14
234,The Walking Dead: Season Two,2014.0,Misc,0.08,0.05,0.0,0.01,0.14
235,Resident Evil: Revelations 2,2015.0,Action,0.1,0.02,0.0,0.01,0.14
236,Dishonored: Death of the Outsider,2017.0,Action,0.07,0.06,0.0,0.01,0.14
237,Ultimate Marvel vs. Capcom 3,2017.0,Fighting,0.12,0.0,0.0,0.01,0.14
238,The Elder Scrolls Online: Morrowind,2017.0,MMO,0.09,0.03,0.0,0.01,0.14
239,Hasbro Family Fun Pack,2015.0,Misc,0.1,0.02,0.0,0.01,0.13
240,Rocksmith 2014 Edition Remastered,2016.0,Music,0.12,0.0,0.0,0.01,0.13
241,Song of the Deep,2016.0,Action,0.12,0.0,0.0,0.01,0.13
242,NBA Live 16,2015.0,Sports,0.11,0.01,0.0,0.01,0.13
243,Outlast Trinity,2017.0,Action,0.1,0.02,0.0,0.01,0.13
244,Sonic Mania,2017.0,Platform,0.09,0.03,0.0,0.01,0.13
245,Dead by Daylight,2017.0,Action,0.08,0.03,0.0,0.01,0.12
246,Darksiders III,2018.0,Action,0.11,0.0,0.0,0.01,0.12
247,Vampyr,2018.0,Role-Playing,0.07,0.04,0.0,0.01,0.12
248,The Walking Dead - The Telltale Series: A New Frontier,2017.0,Adventure,0.1,0.01,0.0,0.01,0.12
249,NASCAR Heat 2,2017.0,Racing,0.11,0.0,0.0,0.01,0.12
250,Life is Strange,2016.0,Adventure,0.08,0.03,0.0,0.01,0.12
251,Wolfenstein The Two Pack,2017.0,Shooter,0.11,0.0,0.0,0.01,0.12
252,The Surge,2017.0,Action,0.07,0.04,0.0,0.01,0.12
253,Naruto Shippuden Ultimate Ninja Storm 4: Road to Boruto,2017.0,Fighting,0.11,0.0,0.0,0.01,0.12
254,Pro Evolution Soccer 2016,2015.0,Sports,0.05,0.06,0.0,0.01,0.12
255,Pro Evolution Soccer 2018,2017.0,Sports,0.06,0.05,0.0,0.01,0.12
256,7 Days to Die,2016.0,Action,0.09,0.02,0.0,0.01,0.12
